regon;nazwa;pkd07
69027520200030;Sklep spożywczo-przemysłowy Wacław Wilusz                                                                               ;4711Z
39044814900055;"""ZOFIX"" Zofia Bajgot                                                                                                    ";4719Z
06045493500163;Masarnia z Ubojnią - Adam Kurantowicz                                                                                   ;4711Z
30017306200027;Biuro Usługowo-Prawne IMPAS Marek Ratajczak                                                                             ;6499Z
36082677000021;PRZEDSIĘBIORSTWO WIELOBRANŻOWE MYSZKA WERONIKA SZAFER                                                                   ;4711Z
00392337200053;"JERZY PRZEPIÓRSKI PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ""JURSKI""                                               ";6820Z
02226673200029;PHU MULTI - CENTER AGNIESZKA KLUCZYŃSKA                                                                                 ;4511Z
36081444200029;ANDRZEJ ŻURAWSKI                                                                                                        ;4711Z
87031067500048;TOMASZ STAWSKI                                                                                                          ;6820Z
27814852000069;RAV RAFAŁ PAŁYS                                                                                                         ;4782Z
43041830100053;"STACJA DYSRYBUCJI GAZU ""BER-GAZ"" TOMASZ BERDYS                                                                          ";5610A
38053589600014;MASTER UTB Jarosław Pieczonka                                                                                           ;4399Z
30153090800046;"PPHU ""STASZAK"" BARTŁOMIEJ STASZAK                                                                                       ";9602Z
53061518000046;KRAJOWA I ZAGRANICZNA POMOC DROGOWA ANDRZEJ MATUSZEK                                                                    ;4520Z
43045263406951; STOKROTKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                                      ;4711Z
10170214900036;SIKORKA Pracownia Dekoratorsko-Krawiecka Edyta Sikora                                                                   ;1392Z
14069950800028;"WACŁAWEK PAWEŁ, ""CARS COMPANY"" IMPORT- EXPORT                                                                           ";4520Z
36350545700018;Nils Med Team RADOSŁAW POPKO                                                                                            ;8690B
25062199000024;MAŁGORZATA GARUS                                                                                                        ;6820Z
93265256300182;ADVENTURA Gołębiowski Wojciech                                                                                          ;6820Z
71034896600041;"BOŻENA CHABERSKA FIRMA HANDLOWA ""CHARPOL""                                                                               ";6820Z
97131979300034;JAR-GUM Jarosław Wrzeszcz                                                                                               ;4520Z
28040472000029;Dariusz Czepło LEURO                                                                                                    ;1610Z
34149429700036;Horyzont Anita Konczalska                                                                                               ;5610A
14317571100021;AGNIESZKA ZIELIŃSKA                                                                                                     ;4778Z
51949920700026;"KUPNO-SPRZEDAŻ SKLEP ""GROSIK"" LESZCZENKO BARBARA                                                                        ";4711Z
26074756500025;ARTYKUŁY KOSMETYCZNE GRAŻYNA KOWALCZYK                                                                                  ;4789Z
34068225200026;"""GEMINI"" s.c. Radosław i Bogumił Olejnik                                                                                ";4719Z
28011617400029;ZAKŁAD USŁUG ŚLUSARSKICH Krzysztof Wiśniewski                                                                           ;4339Z
32053703400028;JANUSZ BOROWSKI H&J                                                                                                     ;4711Z
93060503900035;ALEKSANDER SZPILA                                                                                                       ;4711Z
34056215700030;SKY-LAB                                                                                                                 ;8690E
36175676400023;Jarosław Polak Firma Handlowo-Usługowa JAR-POL                                                                          ;4711Z
24281349000036;Wojewódzki Szpital Specjalistyczny nr 5 im.Św. Barbary                                                                  ;8690C
36874890500015;KONOPIA                                                                                                                 ;4791Z
63065759000067;"KRYSTYNA LEMAŃSKA ""MINI GASTRONOMIA""                                                                                    ";5610A
38705808600020;MICHAŁ JURCZYK                                                                                                          ;6820Z
